"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2012",0.1370516634,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2013",-0.0671647844,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2014",1.6528569291,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2015",1.5007335256,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2016",1.2327356241,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2017",1.3259188015,
"BEL","REALGDPFORECAST","TOT","AGRWTH","A","2018",1.505535256,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1971",4.1177026784,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1972",5.4457984643,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1973",6.9641525244,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1974",3.6911433019,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1975",1.8229234071,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1976",5.1992544744,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1977",3.4582777683,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1978",3.9535912654,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1979",3.804838097,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1980",2.1627411792,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1981",3.5030781598,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1982",-3.2019631027,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1983",2.5984746273,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1984",5.9253856471,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1985",4.7340842555,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1986",2.1618161716,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1987",4.0964656626,
"CAN","REALGDPFORECAST","TOT","AGRWTH","A","1988",4.4294289269,
